,neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
235,Manhattan,Entire home/apt,125,10,183,1.83,2,365
236,Manhattan,Private room,92,1,189,1.82,5,253
237,Manhattan,Private room,175,2,1,0.11,1,365
238,Manhattan,Entire home/apt,99,2,127,1.22,1,320
239,Manhattan,Entire home/apt,195,4,4,0.04,1,0
240,Manhattan,Entire home/apt,140,3,135,1.3,3,192
241,Manhattan,Entire home/apt,135,2,21,0.2,1,0
243,Manhattan,Private room,80,10,10,2.21,2,0
244,Manhattan,Private room,120,4,171,1.8,2,353
245,Manhattan,Entire home/apt,110,10,92,0.9,1,140
246,Brooklyn,Entire home/apt,65,3,238,2.3,1,2
247,Manhattan,Entire home/apt,130,10,56,0.58,1,56
248,Brooklyn,Entire home/apt,99,3,111,2.13,1,68
249,Staten Island,Private room,36,2,193,1.85,6,360
250,Staten Island,Private room,37,2,147,1.44,6,0
251,Staten Island,Private room,37,2,177,1.71,6,320
252,Manhattan,Entire home/apt,175,3,185,1.78,2,326
253,Manhattan,Entire home/apt,205,9,62,0.7,2,76
255,Brooklyn,Private room,59,2,181,1.77,2,15
256,Staten Island,Private room,36,2,333,3.19,6,340
257,Queens,Entire home/apt,99,5,441,4.5,1,226
258,Brooklyn,Private room,39,1,45,0.46,2,365
259,Brooklyn,Private room,60,10,9,0.09,2,0
260,Bronx,Private room,90,2,0,0.0,7,349
261,Bronx,Entire home/apt,105,2,38,0.5,13,365
262,Brooklyn,Entire home/apt,135,2,248,2.39,2,11
264,Brooklyn,Private room,70,3,36,0.41,4,281
265,Manhattan,Private room,75,7,0,0.0,2,323
266,Brooklyn,Private room,60,10,14,0.14,4,362
267,Manhattan,Entire home/apt,200,3,0,0.0,1,0
268,Brooklyn,Private room,100,3,279,2.69,1,301
269,Brooklyn,Private room,70,4,18,0.22,4,189
270,Brooklyn,Private room,110,6,50,3.55,1,0
271,Brooklyn,Private room,60,2,227,2.27,2,287
272,Manhattan,Entire home/apt,90,10,1,0.16,1,14
273,Manhattan,Private room,68,2,203,1.96,2,86
274,Manhattan,Entire home/apt,115,2,210,2.1,1,261
275,Brooklyn,Private room,75,5,64,0.67,1,68
276,Brooklyn,Private room,60,3,0,0.0,1,0
277,Manhattan,Entire home/apt,129,7,5,0.15,1,231
278,Brooklyn,Entire home/apt,130,10,49,0.48,1,152
279,Brooklyn,Entire home/apt,95,4,132,1.27,1,46
280,Manhattan,Private room,75,3,20,0.26,1,364
281,Brooklyn,Entire home/apt,175,2,11,0.11,1,246
282,Brooklyn,Entire home/apt,190,3,51,0.57,1,288
283,Brooklyn,Private room,49,10,15,0.15,5,331
284,Manhattan,Entire home/apt,212,3,67,1.31,1,51
285,Manhattan,Private room,95,1,109,1.11,3,364
286,Brooklyn,Entire home/apt,140,2,9,0.11,1,254
287,Manhattan,Entire home/apt,135,6,187,1.87,1,189
288,Brooklyn,Entire home/apt,150,2,214,2.08,2,263
289,Brooklyn,Entire home/apt,190,3,69,0.79,2,258
290,Manhattan,Entire home/apt,124,10,22,0.26,1,103
291,Brooklyn,Entire home/apt,135,10,56,0.56,1,42
292,Manhattan,Private room,122,3,93,0.93,1,246
293,Manhattan,Private room,109,1,104,1.05,2,364
294,Manhattan,Private room,85,10,64,0.68,1,318
295,Brooklyn,Entire home/apt,145,3,127,1.25,2,72
296,Manhattan,Entire home/apt,195,10,30,0.32,1,249
298,Brooklyn,Private room,125,3,6,0.1,1,325
300,Manhattan,Entire home/apt,150,10,48,0.55,1,35
301,Brooklyn,Private room,70,5,47,0.49,1,203
302,Manhattan,Private room,90,2,120,1.27,1,132
303,Manhattan,Private room,65,3,52,0.63,1,5
306,Manhattan,Entire home/apt,125,10,43,0.42,1,102
307,Manhattan,Entire home/apt,200,10,39,0.44,1,251
308,Brooklyn,Entire home/apt,229,1,50,0.5,1,188
309,Bronx,Entire home/apt,90,10,4,0.35,2,346
310,Manhattan,Entire home/apt,110,10,38,0.39,1,0
311,Brooklyn,Private room,59,3,29,0.36,1,15
312,Brooklyn,Entire home/apt,195,4,59,0.6,1,71
313,Brooklyn,Entire home/apt,169,1,68,0.67,2,215
314,Manhattan,Entire home/apt,113,10,26,0.27,3,253
316,Queens,Entire home/apt,115,2,198,2.01,1,257
317,Brooklyn,Private room,55,2,1,0.01,1,0
318,Brooklyn,Private room,69,2,220,2.17,2,8
319,Manhattan,Entire home/apt,150,3,286,2.81,1,191
320,Brooklyn,Entire home/apt,169,2,398,3.97,3,182
321,Brooklyn,Private room,179,3,36,0.36,28,79
322,Manhattan,Private room,150,3,36,0.36,1,49
323,Brooklyn,Entire home/apt,135,4,6,0.1,1,0
325,Brooklyn,Private room,120,10,76,0.76,6,343
326,Manhattan,Private room,71,2,182,1.81,1,200
329,Brooklyn,Entire home/apt,165,10,34,0.51,2,189
330,Brooklyn,Private room,249,3,2,0.02,28,60
331,Brooklyn,Private room,100,3,66,0.68,2,0
332,Brooklyn,Entire home/apt,200,3,80,0.85,2,106
333,Manhattan,Entire home/apt,169,4,240,2.4,1,276
334,Brooklyn,Entire home/apt,185,3,46,1.07,1,248
335,Brooklyn,Entire home/apt,65,2,228,2.27,1,194
336,Brooklyn,Entire home/apt,130,10,5,0.05,1,135
337,Brooklyn,Entire home/apt,199,10,8,0.11,1,30
338,Manhattan,Entire home/apt,225,2,33,0.33,1,0
339,Brooklyn,Private room,179,3,13,0.14,28,81
340,Brooklyn,Entire home/apt,150,5,5,0.05,1,0
341,Manhattan,Entire home/apt,139,1,388,3.88,1,142
342,Manhattan,Private room,95,3,223,2.22,2,60
343,Brooklyn,Entire home/apt,79,10,11,0.11,5,179
344,Manhattan,Entire home/apt,150,2,151,1.51,2,52
346,Brooklyn,Entire home/apt,90,3,218,2.26,4,324
347,Brooklyn,Entire home/apt,120,2,75,0.76,2,237
348,Queens,Private room,80,1,42,1.21,2,365
349,Brooklyn,Entire home/apt,100,10,0,0.0,1,365
350,Brooklyn,Entire home/apt,175,2,370,3.74,1,204
351,Brooklyn,Entire home/apt,120,5,104,1.04,1,272
352,Brooklyn,Entire home/apt,140,7,13,0.13,1,0
353,Brooklyn,Entire home/apt,200,5,4,0.07,1,9
354,Brooklyn,Private room,165,4,11,0.11,3,365
355,Manhattan,Entire home/apt,125,4,1,0.01,3,181
356,Manhattan,Entire home/apt,130,10,19,0.19,1,189
357,Manhattan,Shared room,65,7,131,1.31,2,0
358,Brooklyn,Entire home/apt,123,10,15,0.15,1,189
359,Manhattan,Private room,67,2,136,1.37,1,296
360,Queens,Private room,50,1,43,0.45,1,88
361,Brooklyn,Entire home/apt,130,7,98,0.99,1,35
362,Brooklyn,Private room,100,3,31,0.31,1,0
363,Manhattan,Entire home/apt,212,10,45,0.46,1,35
364,Brooklyn,Entire home/apt,190,3,124,1.76,1,359
366,Manhattan,Entire home/apt,249,5,166,1.68,2,365
367,Queens,Private room,70,10,13,0.13,1,335
368,Brooklyn,Entire home/apt,100,10,15,0.16,5,282
369,Manhattan,Private room,60,3,380,3.83,2,247
370,Brooklyn,Entire home/apt,135,2,86,0.87,1,102
371,Brooklyn,Entire home/apt,175,3,248,2.53,3,274
372,Manhattan,Entire home/apt,120,5,49,0.56,1,201
373,Manhattan,Entire home/apt,169,10,54,0.57,1,98
374,Brooklyn,Entire home/apt,165,7,3,0.03,1,157
375,Manhattan,Private room,90,1,1,0.02,1,0
376,Manhattan,Entire home/apt,225,2,56,0.57,1,312
377,Brooklyn,Private room,95,2,163,1.66,2,331
378,Brooklyn,Private room,55,2,247,2.51,2,275
379,Manhattan,Private room,85,10,116,1.17,1,174
380,Brooklyn,Entire home/apt,199,10,27,0.28,2,223
381,Manhattan,Entire home/apt,211,1,52,0.6,3,361
382,Manhattan,Entire home/apt,145,6,39,0.4,1,0
383,Manhattan,Private room,65,10,35,0.35,1,283
384,Manhattan,Entire home/apt,99,1,320,3.23,1,220
385,Queens,Entire home/apt,110,4,30,0.32,1,363
386,Brooklyn,Entire home/apt,80,3,225,2.27,4,315
387,Brooklyn,Entire home/apt,150,10,95,0.96,1,281
388,Brooklyn,Entire home/apt,110,4,70,0.75,1,283
390,Manhattan,Private room,87,2,0,0.0,1,0
391,Brooklyn,Entire home/apt,190,4,50,0.51,1,331
392,Brooklyn,Entire home/apt,200,2,29,0.31,1,36
393,Brooklyn,Entire home/apt,165,2,23,0.23,2,7
394,Manhattan,Entire home/apt,110,2,142,1.44,2,301
396,Brooklyn,Private room,99,2,38,0.54,2,307
397,Brooklyn,Private room,39,1,82,0.94,2,365
398,Manhattan,Entire home/apt,189,2,403,4.1,3,201
399,Manhattan,Private room,85,1,3,0.03,1,0
401,Manhattan,Entire home/apt,122,1,116,1.18,5,271
402,Brooklyn,Entire home/apt,165,2,175,1.79,1,139
403,Queens,Entire home/apt,97,3,28,1.21,3,209
404,Manhattan,Entire home/apt,170,4,24,0.25,1,0
405,Brooklyn,Entire home/apt,125,2,15,0.15,1,0
406,Manhattan,Private room,130,4,105,1.07,1,193
407,Brooklyn,Entire home/apt,225,10,22,0.38,1,52
408,Brooklyn,Private room,50,2,263,2.69,2,136
409,Brooklyn,Entire home/apt,170,3,86,0.91,2,286
410,Manhattan,Entire home/apt,132,4,10,0.1,1,0
412,Brooklyn,Entire home/apt,141,5,8,0.21,1,9
413,Brooklyn,Entire home/apt,64,10,70,0.73,1,3
414,Brooklyn,Entire home/apt,249,3,150,1.55,1,277
415,Brooklyn,Private room,79,2,115,1.18,1,0
416,Manhattan,Entire home/apt,185,2,69,0.71,1,233
417,Brooklyn,Entire home/apt,120,3,232,2.41,1,221
420,Manhattan,Entire home/apt,175,3,68,0.69,1,277
421,Manhattan,Entire home/apt,150,4,22,0.23,1,0
423,Manhattan,Private room,96,1,34,0.58,1,0
424,Brooklyn,Entire home/apt,145,7,8,0.08,1,0
425,Manhattan,Entire home/apt,200,4,0,0.0,1,0
426,Manhattan,Entire home/apt,95,5,2,0.08,1,0
429,Manhattan,Entire home/apt,175,3,18,0.19,1,0
431,Manhattan,Entire home/apt,165,2,191,2.18,1,236
433,Bronx,Entire home/apt,77,1,197,2.49,1,309
435,Queens,Entire home/apt,129,1,414,4.34,1,245
436,Brooklyn,Private room,98,2,8,0.09,4,0
437,Brooklyn,Entire home/apt,150,2,0,0.0,1,8
438,Manhattan,Private room,95,7,25,0.3,1,359
439,Manhattan,Private room,55,3,119,1.22,5,333
441,Queens,Private room,42,10,53,0.55,3,236
442,Brooklyn,Entire home/apt,125,2,104,1.09,1,22
443,Manhattan,Private room,175,3,175,1.8,1,236
444,Manhattan,Private room,75,3,38,0.42,3,365
446,Brooklyn,Entire home/apt,72,10,88,0.91,1,164
447,Brooklyn,Private room,165,1,27,0.28,4,311
448,Brooklyn,Entire home/apt,165,5,117,1.28,1,23
449,Brooklyn,Private room,75,3,43,0.44,2,365
450,Brooklyn,Entire home/apt,130,5,4,0.05,1,0
451,Brooklyn,Entire home/apt,139,2,385,4.0,1,222
452,Brooklyn,Private room,88,1,64,0.68,3,238
453,Brooklyn,Private room,80,1,39,0.41,3,218
454,Manhattan,Private room,150,2,37,1.79,1,0
455,Manhattan,Entire home/apt,200,3,10,0.12,1,0
456,Manhattan,Entire home/apt,200,2,103,1.08,1,235
457,Queens,Private room,42,10,41,0.43,3,246
458,Brooklyn,Private room,90,6,3,0.03,1,0
461,Brooklyn,Entire home/apt,130,2,29,0.35,1,119
462,Brooklyn,Private room,89,3,205,2.31,3,0
463,Manhattan,Entire home/apt,198,5,42,0.44,2,234
464,Manhattan,Entire home/apt,99,2,280,2.92,3,257
465,Brooklyn,Private room,46,4,86,0.89,3,350
466,Manhattan,Private room,140,2,54,0.56,1,221
468,Manhattan,Private room,75,5,57,0.59,2,201
469,Queens,Private room,33,10,31,0.32,3,161
471,Brooklyn,Private room,60,3,480,6.7,1,0
472,Manhattan,Private room,75,2,34,0.35,1,222
474,Manhattan,Entire home/apt,205,9,3,0.04,2,76
475,Brooklyn,Entire home/apt,219,5,2,0.03,1,0
476,Brooklyn,Private room,60,1,20,0.21,6,258
477,Manhattan,Entire home/apt,185,2,129,1.33,1,14
478,Manhattan,Entire home/apt,190,3,147,1.6,1,27
479,Brooklyn,Entire home/apt,105,10,101,1.06,1,167
481,Manhattan,Entire home/apt,175,10,11,0.12,1,358
482,Manhattan,Private room,65,2,41,0.43,2,59
483,Brooklyn,Entire home/apt,75,2,87,1.09,1,0
484,Bronx,Private room,37,4,117,1.21,1,232
485,Brooklyn,Entire home/apt,85,2,86,0.89,2,15
486,Brooklyn,Entire home/apt,106,7,0,0.0,2,0
487,Manhattan,Entire home/apt,79,2,15,0.16,1,0
488,Brooklyn,Private room,85,2,35,0.55,2,161
489,Manhattan,Private room,170,2,17,0.18,2,88
490,Manhattan,Private room,115,3,3,0.04,2,337
491,Manhattan,Private room,89,5,43,0.47,2,247
492,Manhattan,Shared room,49,3,168,4.6,1,248
493,Brooklyn,Private room,91,3,241,2.49,1,287
495,Brooklyn,Entire home/apt,150,2,11,0.46,1,0
497,Brooklyn,Entire home/apt,97,3,31,0.32,1,193
498,Manhattan,Private room,100,4,49,0.51,2,43
499,Brooklyn,Entire home/apt,179,4,23,0.24,1,25
502,Manhattan,Entire home/apt,189,6,90,0.95,1,303
503,Manhattan,Private room,120,2,99,1.04,1,345
505,Queens,Entire home/apt,107,10,21,0.22,8,200
506,Queens,Entire home/apt,95,10,24,0.26,8,271
507,Manhattan,Entire home/apt,199,2,111,1.17,1,12
508,Manhattan,Entire home/apt,120,2,86,0.91,1,268
509,Manhattan,Entire home/apt,199,10,66,0.69,2,89
510,Bronx,Entire home/apt,125,2,271,2.84,2,347
511,Brooklyn,Private room,70,2,227,2.4,1,37
512,Brooklyn,Private room,75,4,80,1.55,1,0
513,Manhattan,Private room,100,10,5,0.07,1,359
514,Brooklyn,Entire home/apt,99,2,187,1.97,2,287
517,Brooklyn,Entire home/apt,170,3,67,0.7,1,129
518,Manhattan,Entire home/apt,165,1,63,0.68,1,0
519,Manhattan,Private room,99,1,89,1.0,1,353
521,Brooklyn,Entire home/apt,169,3,177,1.86,1,297
522,Brooklyn,Entire home/apt,99,4,90,0.94,1,56
523,Manhattan,Entire home/apt,169,7,39,0.41,1,44
524,Brooklyn,Entire home/apt,160,3,42,0.44,1,355
525,Brooklyn,Entire home/apt,215,3,33,0.35,1,156
526,Brooklyn,Entire home/apt,130,3,179,2.02,1,273
527,Manhattan,Private room,110,3,81,0.85,2,274
528,Manhattan,Private room,150,10,43,0.45,2,258
529,Brooklyn,Private room,65,10,52,0.54,1,276
530,Queens,Private room,75,2,160,1.68,1,65
531,Manhattan,Entire home/apt,149,6,23,0.27,2,0
532,Manhattan,Private room,89,6,35,0.37,1,180
533,Manhattan,Private room,50,1,225,2.35,1,343
534,Brooklyn,Private room,43,1,401,6.62,2,43
535,Brooklyn,Private room,42,1,72,0.84,2,96
536,Brooklyn,Private room,85,1,46,0.97,1,59
537,Brooklyn,Entire home/apt,139,3,83,1.19,1,255
538,Brooklyn,Private room,105,1,211,2.21,2,252
540,Manhattan,Entire home/apt,149,1,122,1.29,1,20
541,Manhattan,Private room,68,2,295,3.9,2,188
542,Brooklyn,Entire home/apt,99,3,207,2.18,1,304
543,Manhattan,Private room,75,3,50,0.65,2,38
544,Brooklyn,Private room,100,2,273,2.85,1,254
545,Manhattan,Shared room,90,1,0,0.0,1,0
546,Manhattan,Entire home/apt,160,10,25,0.26,1,46
547,Brooklyn,Entire home/apt,190,4,105,1.62,1,328
548,Brooklyn,Private room,67,4,72,0.76,3,0
549,Manhattan,Entire home/apt,190,1,8,0.08,1,0
550,Brooklyn,Entire home/apt,248,2,58,0.61,6,199
551,Brooklyn,Private room,100,6,8,0.09,1,249
552,Manhattan,Private room,95,3,172,1.84,2,64
553,Manhattan,Private room,150,1,330,7.14,1,111
